 format: day,hour,forecast,value  location:60_127 Start : 20240101 
 17,2000,+30,20.000000 
 17,2000,+31,30.000000 
 17,2000,+32,30.000000 
 17,2000,+33,30.000000 
 17,2000,+34,30.000000 
 17,2000,+35,30.000000 
 17,2000,+36,30.000000 
 17,2000,+37,30.000000 
 17,2000,+38,30.000000 
 17,2000,+39,20.000000 
 17,2000,+40,20.000000 
 17,2000,+41,20.000000 
 17,2000,+42,20.000000 
 17,2000,+43,20.000000 
 17,2000,+44,30.000000 
 17,2000,+45,30.000000 
 17,2000,+46,30.000000 
 17,2000,+47,30.000000 
 17,2000,+48,30.000000 
 17,2000,+49,30.000000 
 17,2000,+50,30.000000 
 17,2000,+51,30.000000 
 17,2000,+52,30.000000 
 17,2000,+53,30.000000 
 17,2000,+54,30.000000 
 17,2000,+55,30.000000 
 17,2000,+56,30.000000 
 17,2000,+57,30.000000 
 17,2000,+58,30.000000 
 17,2000,+59,30.000000 
 17,2000,+60,30.000000 
 17,2000,+61,30.000000 
 17,2000,+62,30.000000 
 17,2000,+63,30.000000 
 17,2000,+64,30.000000 
 17,2000,+65,30.000000 
 17,2000,+66,30.000000 
 17,2000,+67,30.000000 
 17,2300,+6,0.000000 
 17,2300,+7,20.000000 
 17,2300,+8,30.000000 
 17,2300,+9,30.000000 
 17,2300,+10,30.000000 
 17,2300,+11,30.000000 
 17,2300,+12,30.000000 
 17,2300,+13,30.000000 
 17,2300,+14,30.000000 
 17,2300,+15,30.000000 
 17,2300,+16,30.000000 
 17,2300,+17,30.000000 
 17,2300,+18,30.000000 
 17,2300,+19,30.000000 
 17,2300,+20,30.000000 
 17,2300,+21,30.000000 
 17,2300,+22,30.000000 
 17,2300,+23,30.000000 
 17,2300,+24,30.000000 
 17,2300,+25,30.000000 
 17,2300,+26,30.000000 
 17,2300,+27,20.000000 
 17,2300,+28,30.000000 
 17,2300,+29,30.000000 
 17,2300,+30,30.000000 
 17,2300,+31,30.000000 
 17,2300,+32,30.000000 
 17,2300,+33,30.000000 
 17,2300,+34,30.000000 
 17,2300,+35,30.000000 
 17,2300,+36,20.000000 
 17,2300,+37,20.000000 
 17,2300,+38,20.000000 
 17,2300,+39,20.000000 
 17,2300,+40,20.000000 
 17,2300,+41,30.000000 
 17,2300,+42,30.000000 
 17,2300,+43,30.000000 
 17,2300,+44,30.000000 
 17,2300,+45,30.000000 
 17,2300,+46,30.000000 
 17,2300,+47,30.000000 
 17,2300,+48,30.000000 
 17,2300,+49,30.000000 
 17,2300,+50,30.000000 
 17,2300,+51,30.000000 
 17,2300,+52,30.000000 
 17,2300,+53,30.000000 
 17,2300,+54,30.000000 
 17,2300,+55,30.000000 
 17,2300,+56,30.000000 
 17,2300,+57,30.000000 
 17,2300,+58,30.000000 
 17,2300,+59,30.000000 
 17,2300,+60,30.000000 
 17,2300,+61,30.000000 
 17,2300,+62,30.000000 
 17,2300,+63,30.000000 
 17,2300,+64,30.000000 
 Start : 20240118 
 18,0200,+6,30.000000 
 18,0200,+7,30.000000 
 18,0200,+8,30.000000 
 18,0200,+9,30.000000 
 18,0200,+10,30.000000 
 18,0200,+11,30.000000 
 18,0200,+12,30.000000 
 18,0200,+13,30.000000 
 18,0200,+14,30.000000 
 18,0200,+15,30.000000 
 18,0200,+16,30.000000 
 18,0200,+17,30.000000 
 18,0200,+18,30.000000 
 18,0200,+19,30.000000 
 18,0200,+20,30.000000 
 18,0200,+21,30.000000 
 18,0200,+22,30.000000 
 18,0200,+23,30.000000 
 18,0200,+24,20.000000 
 18,0200,+25,30.000000 
 18,0200,+26,30.000000 
 18,0200,+27,30.000000 
 18,0200,+28,30.000000 
 18,0200,+29,30.000000 
 18,0200,+30,30.000000 
 18,0200,+31,30.000000 
 18,0200,+32,30.000000 
 18,0200,+33,20.000000 
 18,0200,+34,20.000000 
 18,0200,+35,20.000000 
 18,0200,+36,20.000000 
 18,0200,+37,20.000000 
 18,0200,+38,30.000000 
 18,0200,+39,30.000000 
 18,0200,+40,30.000000 
 18,0200,+41,30.000000 
 18,0200,+42,30.000000 
 18,0200,+43,30.000000 
 18,0200,+44,30.000000 
 18,0200,+45,30.000000 
 18,0200,+46,30.000000 
 18,0200,+47,30.000000 
 18,0200,+48,30.000000 
 18,0200,+49,30.000000 
 18,0200,+50,30.000000 
 18,0200,+51,30.000000 
 18,0200,+52,30.000000 
 18,0200,+53,30.000000 
 18,0200,+54,30.000000 
 18,0200,+55,30.000000 
 18,0200,+56,30.000000 
 18,0200,+57,30.000000 
 18,0200,+58,30.000000 
 18,0200,+59,30.000000 
 18,0200,+60,30.000000 
 18,0200,+61,30.000000 
 18,0500,+6,30.000000 
 18,0500,+7,30.000000 
 18,0500,+8,30.000000 
 18,0500,+9,30.000000 
 18,0500,+10,30.000000 
 18,0500,+11,30.000000 
 18,0500,+12,30.000000 
 18,0500,+13,30.000000 
 18,0500,+14,30.000000 
 18,0500,+15,30.000000 
 18,0500,+16,30.000000 
 18,0500,+17,30.000000 
 18,0500,+18,30.000000 
 18,0500,+19,30.000000 
 18,0500,+20,30.000000 
 18,0500,+21,20.000000 
 18,0500,+22,30.000000 
 18,0500,+23,30.000000 
 18,0500,+24,30.000000 
 18,0500,+25,30.000000 
 18,0500,+26,30.000000 
 18,0500,+27,30.000000 
 18,0500,+28,30.000000 
 18,0500,+29,30.000000 
 18,0500,+30,20.000000 
 18,0500,+31,20.000000 
 18,0500,+32,20.000000 
 18,0500,+33,20.000000 
 18,0500,+34,20.000000 
 18,0500,+35,30.000000 
 18,0500,+36,30.000000 
 18,0500,+37,30.000000 
 18,0500,+38,30.000000 
 18,0500,+39,30.000000 
 18,0500,+40,30.000000 
 18,0500,+41,30.000000 
 18,0500,+42,30.000000 
 18,0500,+43,30.000000 
 18,0500,+44,30.000000 
 18,0500,+45,30.000000 
 18,0500,+46,30.000000 
 18,0500,+47,30.000000 
 18,0500,+48,30.000000 
 18,0500,+49,30.000000 
 18,0500,+50,30.000000 
 18,0500,+51,30.000000 
 18,0500,+52,30.000000 
 18,0500,+53,30.000000 
 18,0500,+54,30.000000 
 18,0500,+55,30.000000 
 18,0500,+56,30.000000 
 18,0500,+57,30.000000 
 18,0500,+58,30.000000 
 18,0800,+6,20.000000 
 18,0800,+7,20.000000 
 18,0800,+8,20.000000 
 18,0800,+9,20.000000 
 18,0800,+10,20.000000 
 18,0800,+11,20.000000 
 18,0800,+12,20.000000 
 18,0800,+13,0.000000 
 18,0800,+14,0.000000 
 18,0800,+15,0.000000 
 18,0800,+16,0.000000 
 18,0800,+17,0.000000 
 18,0800,+18,0.000000 
 18,0800,+19,0.000000 
 18,0800,+20,0.000000 
 18,0800,+21,0.000000 
 18,0800,+22,0.000000 
 18,0800,+23,20.000000 
 18,0800,+24,30.000000 
 18,0800,+25,20.000000 
 18,0800,+26,20.000000 
 18,0800,+27,20.000000 
 18,0800,+28,20.000000 
 18,0800,+29,20.000000 
 18,0800,+30,20.000000 
 18,0800,+31,20.000000 
 18,0800,+32,20.000000 
 18,0800,+33,20.000000 
 18,0800,+34,20.000000 
 18,0800,+35,20.000000 
 18,0800,+36,20.000000 
 18,0800,+37,30.000000 
 18,0800,+38,30.000000 
 18,0800,+39,30.000000 
 18,0800,+40,30.000000 
 18,0800,+41,30.000000 
 18,0800,+42,30.000000 
 18,0800,+43,30.000000 
 18,0800,+44,30.000000 
 18,0800,+45,30.000000 
 18,0800,+46,30.000000 
 18,0800,+47,30.000000 
 18,0800,+48,30.000000 
 18,0800,+49,30.000000 
 18,0800,+50,30.000000 
 18,0800,+51,30.000000 
 18,0800,+52,30.000000 
 18,0800,+53,30.000000 
 18,0800,+54,30.000000 
 18,0800,+55,30.000000 
 18,0800,+56,30.000000 
 18,0800,+57,30.000000 
 18,0800,+58,30.000000 
 18,0800,+59,30.000000 
 18,0800,+60,30.000000 
 18,0800,+61,30.000000 
 18,0800,+62,30.000000 
 18,0800,+63,30.000000 
 18,0800,+64,30.000000 
 18,0800,+65,30.000000 
 18,0800,+66,30.000000 
 18,0800,+67,30.000000 
 18,0800,+68,30.000000 
 18,0800,+69,30.000000 
 18,0800,+70,30.000000 
 18,0800,+71,30.000000 
 18,0800,+72,30.000000 
 18,0800,+73,30.000000 
 18,0800,+74,30.000000 
 18,0800,+75,30.000000 
 18,0800,+76,30.000000 
 18,0800,+77,30.000000 
 18,0800,+78,30.000000 
 18,0800,+79,30.000000 
 18,1100,+6,20.000000 
 18,1100,+7,20.000000 
 18,1100,+8,20.000000 
 18,1100,+9,20.000000 
 18,1100,+10,0.000000 
 18,1100,+11,0.000000 
 18,1100,+12,0.000000 
 18,1100,+13,0.000000 
 18,1100,+14,0.000000 
 18,1100,+15,0.000000 
 18,1100,+16,0.000000 
 18,1100,+17,0.000000 
 18,1100,+18,0.000000 
 18,1100,+19,0.000000 
 18,1100,+20,20.000000 
 18,1100,+21,30.000000 
 18,1100,+22,20.000000 
 18,1100,+23,20.000000 
 18,1100,+24,20.000000 
 18,1100,+25,20.000000 
 18,1100,+26,20.000000 
 18,1100,+27,20.000000 
 18,1100,+28,20.000000 
 18,1100,+29,20.000000 
 18,1100,+30,20.000000 
 18,1100,+31,20.000000 
 18,1100,+32,20.000000 
 18,1100,+33,20.000000 
 18,1100,+34,30.000000 
 18,1100,+35,30.000000 
 18,1100,+36,30.000000 
 18,1100,+37,30.000000 
 18,1100,+38,30.000000 
 18,1100,+39,30.000000 
 18,1100,+40,30.000000 
 18,1100,+41,30.000000 
 18,1100,+42,30.000000 
 18,1100,+43,30.000000 
 18,1100,+44,30.000000 
 18,1100,+45,30.000000 
 18,1100,+46,30.000000 
 18,1100,+47,30.000000 
 18,1100,+48,30.000000 
 18,1100,+49,30.000000 
 18,1100,+50,30.000000 
 18,1100,+51,30.000000 
 18,1100,+52,30.000000 
 18,1100,+53,30.000000 
 18,1100,+54,30.000000 
 18,1100,+55,30.000000 
 18,1100,+56,30.000000 
 18,1100,+57,30.000000 
 18,1100,+58,30.000000 
 18,1100,+59,30.000000 
 18,1100,+60,30.000000 
 18,1100,+61,30.000000 
 18,1100,+62,30.000000 
 18,1100,+63,30.000000 
 18,1100,+64,30.000000 
 18,1100,+65,30.000000 
 18,1100,+66,30.000000 
 18,1100,+67,30.000000 
 18,1100,+68,30.000000 
 18,1100,+69,30.000000 
 18,1100,+70,30.000000 
 18,1100,+71,30.000000 
 18,1100,+72,30.000000 
 18,1100,+73,30.000000 
 18,1100,+74,30.000000 
 18,1100,+75,30.000000 
 18,1100,+76,30.000000 
 18,1400,+6,20.000000 
 18,1400,+7,0.000000 
 18,1400,+8,0.000000 
 18,1400,+9,0.000000 
 18,1400,+10,0.000000 
 18,1400,+11,0.000000 
 18,1400,+12,0.000000 
 18,1400,+13,0.000000 
 18,1400,+14,0.000000 
 18,1400,+15,0.000000 
 18,1400,+16,0.000000 
 18,1400,+17,20.000000 
 18,1400,+18,30.000000 
 18,1400,+19,20.000000 
 18,1400,+20,20.000000 
 18,1400,+21,20.000000 
 18,1400,+22,20.000000 
 18,1400,+23,20.000000 
 18,1400,+24,20.000000 
 18,1400,+25,20.000000 
 18,1400,+26,20.000000 
 18,1400,+27,20.000000 
 18,1400,+28,20.000000 
 18,1400,+29,20.000000 
 18,1400,+30,20.000000 
 18,1400,+31,30.000000 
 18,1400,+32,30.000000 
 18,1400,+33,30.000000 
 18,1400,+34,30.000000 
 18,1400,+35,30.000000 
 18,1400,+36,30.000000 
 18,1400,+37,30.000000 
 18,1400,+38,30.000000 
 18,1400,+39,30.000000 
 18,1400,+40,30.000000 
 18,1400,+41,30.000000 
 18,1400,+42,30.000000 
 18,1400,+43,30.000000 
 18,1400,+44,30.000000 
 18,1400,+45,30.000000 
 18,1400,+46,30.000000 
 18,1400,+47,30.000000 
 18,1400,+48,30.000000 
 18,1400,+49,30.000000 
 18,1400,+50,30.000000 
 18,1400,+51,30.000000 
 18,1400,+52,30.000000 
 18,1400,+53,30.000000 
 18,1400,+54,30.000000 
 18,1400,+55,30.000000 
 18,1400,+56,30.000000 
 18,1400,+57,30.000000 
 18,1400,+58,30.000000 
 18,1400,+59,30.000000 
 18,1400,+60,30.000000 
 18,1400,+61,30.000000 
 18,1400,+62,30.000000 
 18,1400,+63,30.000000 
 18,1400,+64,30.000000 
 18,1400,+65,30.000000 
 18,1400,+66,30.000000 
 18,1400,+67,30.000000 
 18,1400,+68,30.000000 
 18,1400,+69,30.000000 
 18,1400,+70,30.000000 
 18,1400,+71,30.000000 
 18,1400,+72,30.000000 
 18,1400,+73,30.000000 
 18,1700,+6,0.000000 
 18,1700,+7,0.000000 
 18,1700,+8,0.000000 
 18,1700,+9,0.000000 
 18,1700,+10,0.000000 
 18,1700,+11,0.000000 
 18,1700,+12,0.000000 
 18,1700,+13,0.000000 
 18,1700,+14,20.000000 
 18,1700,+15,30.000000 
 18,1700,+16,20.000000 
 18,1700,+17,20.000000 
 18,1700,+18,20.000000 
 18,1700,+19,20.000000 
 18,1700,+20,20.000000 
 18,1700,+21,20.000000 
 18,1700,+22,20.000000 
 18,1700,+23,20.000000 
 18,1700,+24,20.000000 
 18,1700,+25,20.000000 
 18,1700,+26,20.000000 
 18,1700,+27,20.000000 
 18,1700,+28,30.000000 
 18,1700,+29,30.000000 
 18,1700,+30,30.000000 
 18,1700,+31,30.000000 
 18,1700,+32,30.000000 
 18,1700,+33,30.000000 
 18,1700,+34,30.000000 
 18,1700,+35,30.000000 
 18,1700,+36,30.000000 
 18,1700,+37,30.000000 
 18,1700,+38,30.000000 
 18,1700,+39,30.000000 
 18,1700,+40,30.000000 
 18,1700,+41,30.000000 
 18,1700,+42,30.000000 
 18,1700,+43,30.000000 
 18,1700,+44,30.000000 
 18,1700,+45,30.000000 
 18,1700,+46,30.000000 
 18,1700,+47,30.000000 
 18,1700,+48,30.000000 
 18,1700,+49,30.000000 
 18,1700,+50,30.000000 
 18,1700,+51,30.000000 
 18,1700,+52,30.000000 
 18,1700,+53,30.000000 
 18,1700,+54,30.000000 
 18,1700,+55,30.000000 
 18,1700,+56,30.000000 
 18,1700,+57,30.000000 
 18,1700,+58,30.000000 
 18,1700,+59,30.000000 
 18,1700,+60,30.000000 
 18,1700,+61,30.000000 
 18,1700,+62,30.000000 
 18,1700,+63,30.000000 
 18,1700,+64,30.000000 
 18,1700,+65,30.000000 
 18,1700,+66,30.000000 
 18,1700,+67,30.000000 
 18,1700,+68,30.000000 
 18,1700,+69,30.000000 
 18,1700,+70,30.000000 
 18,2000,+6,0.000000 
 18,2000,+7,0.000000 
 18,2000,+8,0.000000 
 18,2000,+9,0.000000 
 18,2000,+10,0.000000 
 18,2000,+11,20.000000 
 18,2000,+12,30.000000 
 18,2000,+13,20.000000 
 18,2000,+14,20.000000 
 18,2000,+15,20.000000 
 18,2000,+16,20.000000 
 18,2000,+17,20.000000 
 18,2000,+18,20.000000 
 18,2000,+19,20.000000 
 18,2000,+20,20.000000 
 18,2000,+21,20.000000 
 18,2000,+22,20.000000 
 18,2000,+23,20.000000 
 18,2000,+24,20.000000 
 18,2000,+25,30.000000 
 18,2000,+26,30.000000 
 18,2000,+27,30.000000 
 18,2000,+28,30.000000 
 18,2000,+29,30.000000 
 18,2000,+30,30.000000 
 18,2000,+31,30.000000 
 18,2000,+32,30.000000 
 18,2000,+33,30.000000 
 18,2000,+34,30.000000 
 18,2000,+35,30.000000 
 18,2000,+36,30.000000 
 18,2000,+37,30.000000 
 18,2000,+38,30.000000 
 18,2000,+39,30.000000 
 18,2000,+40,30.000000 
 18,2000,+41,30.000000 
 18,2000,+42,30.000000 
 18,2000,+43,30.000000 
 18,2000,+44,30.000000 
 18,2000,+45,30.000000 
 18,2000,+46,30.000000 
 18,2000,+47,30.000000 
 18,2000,+48,30.000000 
 18,2000,+49,30.000000 
 18,2000,+50,30.000000 
 18,2000,+51,30.000000 
 18,2000,+52,30.000000 
 18,2000,+53,30.000000 
 18,2000,+54,30.000000 
 18,2000,+55,30.000000 
 18,2000,+56,30.000000 
 18,2000,+57,30.000000 
 18,2000,+58,30.000000 
 18,2000,+59,30.000000 
 18,2000,+60,30.000000 
 18,2000,+61,30.000000 
 18,2000,+62,30.000000 
 18,2000,+63,30.000000 
 18,2000,+64,30.000000 
 18,2000,+65,30.000000 
 18,2000,+66,30.000000 
 18,2000,+67,30.000000 
 18,2300,+6,0.000000 
 18,2300,+7,0.000000 
 18,2300,+8,20.000000 
 18,2300,+9,30.000000 
 18,2300,+10,20.000000 
 18,2300,+11,20.000000 
 18,2300,+12,20.000000 
 18,2300,+13,20.000000 
 18,2300,+14,20.000000 
 18,2300,+15,20.000000 
 18,2300,+16,20.000000 
 18,2300,+17,20.000000 
 18,2300,+18,20.000000 
 18,2300,+19,20.000000 
 18,2300,+20,20.000000 
 18,2300,+21,20.000000 
 18,2300,+22,30.000000 
 18,2300,+23,30.000000 
 18,2300,+24,30.000000 
 18,2300,+25,30.000000 
 18,2300,+26,30.000000 
 18,2300,+27,30.000000 
 18,2300,+28,30.000000 
 18,2300,+29,30.000000 
 18,2300,+30,30.000000 
 18,2300,+31,30.000000 
 18,2300,+32,30.000000 
 18,2300,+33,30.000000 
 18,2300,+34,30.000000 
 18,2300,+35,30.000000 
 18,2300,+36,30.000000 
 18,2300,+37,30.000000 
 18,2300,+38,30.000000 
 18,2300,+39,30.000000 
 18,2300,+40,30.000000 
 18,2300,+41,30.000000 
 18,2300,+42,30.000000 
 18,2300,+43,30.000000 
 18,2300,+44,30.000000 
 18,2300,+45,30.000000 
 18,2300,+46,30.000000 
 18,2300,+47,30.000000 
 18,2300,+48,30.000000 
 18,2300,+49,30.000000 
 18,2300,+50,30.000000 
 18,2300,+51,30.000000 
 18,2300,+52,30.000000 
 18,2300,+53,30.000000 
 18,2300,+54,30.000000 
 18,2300,+55,30.000000 
 18,2300,+56,30.000000 
 18,2300,+57,30.000000 
 18,2300,+58,30.000000 
 18,2300,+59,30.000000 
 18,2300,+60,30.000000 
 18,2300,+61,30.000000 
 18,2300,+62,30.000000 
 18,2300,+63,30.000000 
 18,2300,+64,30.000000 
 Start : 20240119 
 19,0200,+6,30.000000 
 19,0200,+7,20.000000 
 19,0200,+8,20.000000 
 19,0200,+9,20.000000 
 19,0200,+10,20.000000 
 19,0200,+11,20.000000 
 19,0200,+12,20.000000 
 19,0200,+13,20.000000 
 19,0200,+14,20.000000 
 19,0200,+15,20.000000 
 19,0200,+16,20.000000 
 19,0200,+17,20.000000 
 19,0200,+18,20.000000 
 19,0200,+19,30.000000 
 19,0200,+20,30.000000 
 19,0200,+21,30.000000 
 19,0200,+22,30.000000 
 19,0200,+23,30.000000 
 19,0200,+24,30.000000 
 19,0200,+25,30.000000 
 19,0200,+26,30.000000 
 19,0200,+27,30.000000 
 19,0200,+28,30.000000 
 19,0200,+29,30.000000 
 19,0200,+30,30.000000 
 19,0200,+31,30.000000 
 19,0200,+32,30.000000 
 19,0200,+33,30.000000 
 19,0200,+34,30.000000 
 19,0200,+35,30.000000 
 19,0200,+36,30.000000 
 19,0200,+37,30.000000 
 19,0200,+38,30.000000 
 19,0200,+39,30.000000 
 19,0200,+40,30.000000 
 19,0200,+41,30.000000 
 19,0200,+42,30.000000 
 19,0200,+43,30.000000 
 19,0200,+44,30.000000 
 19,0200,+45,30.000000 
 19,0200,+46,30.000000 
 19,0200,+47,30.000000 
 19,0200,+48,30.000000 
 19,0200,+49,30.000000 
 19,0200,+50,30.000000 
 19,0200,+51,30.000000 
 19,0200,+52,30.000000 
 19,0200,+53,30.000000 
 19,0200,+54,30.000000 
 19,0200,+55,30.000000 
 19,0200,+56,30.000000 
 19,0200,+57,30.000000 
 19,0200,+58,30.000000 
 19,0200,+59,30.000000 
 19,0200,+60,30.000000 
 19,0200,+61,30.000000 
 19,0500,+6,20.000000 
 19,0500,+7,20.000000 
 19,0500,+8,20.000000 
 19,0500,+9,20.000000 
 19,0500,+10,20.000000 
 19,0500,+11,20.000000 
 19,0500,+12,20.000000 
 19,0500,+13,20.000000 
 19,0500,+14,20.000000 
 19,0500,+15,20.000000 
 19,0500,+16,30.000000 
 19,0500,+17,30.000000 
 19,0500,+18,30.000000 
 19,0500,+19,30.000000 
 19,0500,+20,30.000000 
 19,0500,+21,30.000000 
 19,0500,+22,30.000000 
 19,0500,+23,30.000000 
 19,0500,+24,30.000000 
 19,0500,+25,30.000000 
 19,0500,+26,30.000000 
 19,0500,+27,30.000000 
 19,0500,+28,30.000000 
 19,0500,+29,30.000000 
 19,0500,+30,30.000000 
 19,0500,+31,30.000000 
 19,0500,+32,30.000000 
 19,0500,+33,30.000000 
 19,0500,+34,30.000000 
 19,0500,+35,30.000000 
 19,0500,+36,30.000000 
 19,0500,+37,30.000000 
 19,0500,+38,30.000000 
 19,0500,+39,30.000000 
 19,0500,+40,30.000000 
 19,0500,+41,30.000000 
 19,0500,+42,30.000000 
 19,0500,+43,30.000000 
 19,0500,+44,30.000000 
 19,0500,+45,30.000000 
 19,0500,+46,30.000000 
 19,0500,+47,30.000000 
 19,0500,+48,30.000000 
 19,0500,+49,30.000000 
 19,0500,+50,30.000000 
 19,0500,+51,30.000000 
 19,0500,+52,30.000000 
 19,0500,+53,30.000000 
 19,0500,+54,30.000000 
 19,0500,+55,30.000000 
 19,0500,+56,30.000000 
 19,0500,+57,30.000000 
 19,0500,+58,30.000000 
 19,0800,+6,20.000000 
 19,0800,+7,20.000000 
 19,0800,+8,20.000000 
 19,0800,+9,20.000000 
 19,0800,+10,20.000000 
 19,0800,+11,20.000000 
 19,0800,+12,20.000000 
 19,0800,+13,30.000000 
 19,0800,+14,30.000000 
 19,0800,+15,30.000000 
 19,0800,+16,30.000000 
 19,0800,+17,30.000000 
 19,0800,+18,30.000000 
 19,0800,+19,30.000000 
 19,0800,+20,30.000000 
 19,0800,+21,30.000000 
 19,0800,+22,30.000000 
 19,0800,+23,30.000000 
 19,0800,+24,30.000000 
 19,0800,+25,30.000000 
 19,0800,+26,30.000000 
 19,0800,+27,30.000000 
 19,0800,+28,30.000000 
 19,0800,+29,30.000000 
 19,0800,+30,30.000000 
 19,0800,+31,30.000000 
 19,0800,+32,30.000000 
 19,0800,+33,30.000000 
 19,0800,+34,30.000000 
 19,0800,+35,30.000000 
 19,0800,+36,30.000000 
 19,0800,+37,30.000000 
 19,0800,+38,30.000000 
 19,0800,+39,30.000000 
 19,0800,+40,30.000000 
 19,0800,+41,30.000000 
 19,0800,+42,30.000000 
 19,0800,+43,30.000000 
 19,0800,+44,30.000000 
 19,0800,+45,30.000000 
 19,0800,+46,30.000000 
 19,0800,+47,30.000000 
 19,0800,+48,30.000000 
 19,0800,+49,30.000000 
 19,0800,+50,30.000000 
 19,0800,+51,30.000000 
 19,0800,+52,30.000000 
 19,0800,+53,30.000000 
 19,0800,+54,30.000000 
 19,0800,+55,30.000000 
 19,0800,+56,30.000000 
 19,0800,+57,30.000000 
 19,0800,+58,30.000000 
 19,0800,+59,30.000000 
 19,0800,+60,30.000000 
 19,0800,+61,30.000000 
 19,0800,+62,20.000000 
 19,0800,+63,30.000000 
 19,0800,+64,30.000000 
 19,0800,+65,20.000000 
 19,0800,+66,30.000000 
 19,0800,+67,30.000000 
 19,0800,+68,30.000000 
 19,0800,+69,20.000000 
 19,0800,+70,0.000000 
 19,0800,+71,20.000000 
 19,0800,+72,20.000000 
 19,0800,+73,30.000000 
 19,0800,+74,30.000000 
 19,0800,+75,30.000000 
 19,0800,+76,20.000000 
 19,0800,+77,20.000000 
 19,0800,+78,20.000000 
 19,0800,+79,0.000000 
 19,1100,+6,20.000000 
 19,1100,+7,20.000000 
 19,1100,+8,20.000000 
 19,1100,+9,20.000000 
 19,1100,+10,30.000000 
 19,1100,+11,30.000000 
 19,1100,+12,30.000000 
 19,1100,+13,30.000000 
 19,1100,+14,30.000000 
 19,1100,+15,30.000000 
 19,1100,+16,30.000000 
 19,1100,+17,30.000000 
 19,1100,+18,30.000000 
 19,1100,+19,30.000000 
 19,1100,+20,30.000000 
 19,1100,+21,30.000000 
 19,1100,+22,30.000000 
 19,1100,+23,30.000000 
 19,1100,+24,30.000000 
 19,1100,+25,30.000000 
 19,1100,+26,30.000000 
 19,1100,+27,30.000000 
 19,1100,+28,30.000000 
 19,1100,+29,30.000000 
 19,1100,+30,30.000000 
 19,1100,+31,30.000000 
 19,1100,+32,30.000000 
 19,1100,+33,30.000000 
 19,1100,+34,30.000000 
 19,1100,+35,30.000000 
 19,1100,+36,30.000000 
 19,1100,+37,30.000000 
 19,1100,+38,30.000000 
 19,1100,+39,30.000000 
 19,1100,+40,30.000000 
 19,1100,+41,30.000000 
 19,1100,+42,30.000000 
 19,1100,+43,30.000000 
 19,1100,+44,30.000000 
 19,1100,+45,30.000000 
 19,1100,+46,30.000000 
 19,1100,+47,30.000000 
 19,1100,+48,30.000000 
 19,1100,+49,30.000000 
 19,1100,+50,30.000000 
 19,1100,+51,30.000000 
 19,1100,+52,30.000000 
 19,1100,+53,30.000000 
 19,1100,+54,30.000000 
 19,1100,+55,30.000000 
 19,1100,+56,30.000000 
 19,1100,+57,30.000000 
 19,1100,+58,30.000000 
 19,1100,+59,20.000000 
 19,1100,+60,30.000000 
 19,1100,+61,30.000000 
 19,1100,+62,20.000000 
 19,1100,+63,30.000000 
 19,1100,+64,30.000000 
 19,1100,+65,30.000000 
 19,1100,+66,20.000000 
 19,1100,+67,0.000000 
 19,1100,+68,20.000000 
 19,1100,+69,20.000000 
 19,1100,+70,30.000000 
 19,1100,+71,30.000000 
 19,1100,+72,30.000000 
 19,1100,+73,20.000000 
 19,1100,+74,20.000000 
 19,1100,+75,20.000000 
 19,1100,+76,0.000000 
 19,1400,+6,20.000000 
 19,1400,+7,30.000000 
 19,1400,+8,30.000000 
 19,1400,+9,30.000000 
 19,1400,+10,30.000000 
 19,1400,+11,30.000000 
 19,1400,+12,30.000000 
 19,1400,+13,30.000000 
 19,1400,+14,30.000000 
 19,1400,+15,30.000000 
 19,1400,+16,30.000000 
 19,1400,+17,30.000000 
 19,1400,+18,30.000000 
 19,1400,+19,30.000000 
 19,1400,+20,30.000000 
 19,1400,+21,30.000000 
 19,1400,+22,30.000000 
 19,1400,+23,30.000000 
 19,1400,+24,30.000000 
 19,1400,+25,30.000000 
 19,1400,+26,30.000000 
 19,1400,+27,30.000000 
 19,1400,+28,30.000000 
 19,1400,+29,30.000000 
 19,1400,+30,30.000000 
 19,1400,+31,30.000000 
 19,1400,+32,30.000000 
 19,1400,+33,30.000000 
 19,1400,+34,30.000000 
 19,1400,+35,30.000000 
 19,1400,+36,30.000000 
 19,1400,+37,30.000000 
 19,1400,+38,30.000000 
 19,1400,+39,30.000000 
 19,1400,+40,30.000000 
 19,1400,+41,30.000000 
 19,1400,+42,30.000000 
 19,1400,+43,30.000000 
 19,1400,+44,30.000000 
 19,1400,+45,30.000000 
 19,1400,+46,30.000000 
 19,1400,+47,30.000000 
 19,1400,+48,30.000000 
 19,1400,+49,30.000000 
 19,1400,+50,30.000000 
 19,1400,+51,30.000000 
 19,1400,+52,30.000000 
 19,1400,+53,30.000000 
 19,1400,+54,30.000000 
 19,1400,+55,30.000000 
 19,1400,+56,20.000000 
 19,1400,+57,30.000000 
 19,1400,+58,30.000000 
 19,1400,+59,20.000000 
 19,1400,+60,30.000000 
 19,1400,+61,30.000000 
 19,1400,+62,30.000000 
 19,1400,+63,20.000000 
 19,1400,+64,0.000000 
 19,1400,+65,20.000000 
 19,1400,+66,20.000000 
 19,1400,+67,30.000000 
 19,1400,+68,30.000000 
 19,1400,+69,30.000000 
 19,1400,+70,20.000000 
 19,1400,+71,20.000000 
 19,1400,+72,20.000000 
 19,1400,+73,0.000000 
 19,1700,+6,30.000000 
 19,1700,+7,30.000000 
 19,1700,+8,30.000000 
